sock,[сок],носок
pencil,[пЭнсил],карандаш
take off,[тэйк ов],снимать (одежду)
hand,[хЭнд],"рука, кисть (руки)"
face,[фэйс],лицо
steering wheel,[стИринг уИ:л],руль
ninety,[нAйнти],девяносто
salt,[со:лт],соль; посолить
bedroom,[бЭдрум],спальня
achievement,[эчИвмент],достижение
Friday,[фрAйдэй],пятница
today,[тудЭй],сегодня (днем)
gentle,[джэнтл],нежный
merry,[мЭри],веселый
hungry,[хAнгри],голодный
seldom,[сЭлдом],редко
hospital,[хОспитл],больница
chair,[чЭэр],стул
butter,[бАтэр],масло
stove,[стОув],кухонная плита
pound,[пАунд],фунт
pain,[пэйн],боль
noodles,[ну:длз],лапша
day,[дэй],день
stink,[стинк],вонять; вонь
piece,[пи:с],кусок; часть; пьеса
tooth,[ту:с],зуб
far,[фа:р],далеко
learn,[лё:рн],учить(ся)
blow,[блОу], дуть; взрывать; удар
shout,[шАут],кричать; крик
hit,[хит],ударять
evil,[И:вэл],злой; зло
after,[Aфтэр],после
sofa,[сОуфа],диван
phone,[фОун],телефон
women,[уИмин],женщины
such,[сач],такой
eye,[ай],глаз
list,[лист],список; перечислять
son,[сан],сын
leg,[лэг],нога; ножка
hot,[хот],жаркий; горячий
musician,[мъю:зИшн],музыкант
it,[ит],оно
hall,[хо:л],коридор
expect,[икспЭкт],ожидать
picture,[пИкчэр],картина
niece,[ни:с],племянница
must,[маст],быть должным
be interested in,[би: Интристид ин],интересоваться
introduce,[интрэдЮс],знакомить
sleep,[сли:п],спать
living room,[лИвинг рум],зал
exit,[Эгзит],выход
lemon,[лЭмон],лимон
Saturday,[сЭтэрдэй],суббота
first name,[фё:рст нэйм],имя
glue,[глу:],клей; приклеивать
mum,[мам],мама
together,[тугЭзэр],вместе
dog,[дог],собака
trunk,[транк],багажник; ствол; хобот
week,[уи:к],неделя
negotiation,[нигоушиЭйшэн],переговоры
remind,[римАйнд],напоминать
fly,[флай],летать; муха
knowledge,[нОлидж],знание
ability,[эбИлэти],способность
cinema,[сИнэмэ],кинотеатр
straight,[стрэйт],прямой; прямо
dirty,[дЁ:рти],грязный
anything,[Энисинг],"что-то, ничто, всё"
hair,[хЭэр],волосы
lay,[лэй],класть; накрывать (на стол)
happy,[хЭппи],счастливый
engineer,[энджинИ:эр],инженер
rat,[рЭт],крыса
stomach,[стАмэк],желудок; живот
cat,[кэт],кошка
scarf,[ска:рф],шарф
before,[бифO:р],до
rice,[райс],рис
glasses,[глА:сиз],очки
switch,[cуИч],переключать
hate,[хэйт],ненависть; ненавидеть
T-shirt,[тИ:шё:рт],футболка
order,[О:рдэр],заказывать; приказывать; порядок
visit,[вИзит],посещать; визит
garbage,[гА:рбидж],мусор
amazing,[эмЭйзинг],удивительный
during,[дъЮринг],во время
have,[хэв],иметь
narrow,[нЭроу],узкий
tonight,[тунАйт],сегодня вечером (ночью)
wedding,[уЭдинг],свадьба
chin,[чин],подбородок
winter,[уИнтэр],зима
miracle,[мИрэкл],чудо
beef,[би:ф],говядина
lake,[лэйк],озеро
art,[а:рт],искусство
seven,[сЭвэн],семь
red,[рэд],красный
family,[фЭмили],семья
never,[нЭвэр],никогда
cough,[коф],кашель; кашлять
show,[шОу],показывать
ring,[ринг],звенеть; кольцо
sixty,[сИксти],шестьдесят
shut,[шат],закрывать
heel,[хи:л],пятка; каблук
March,[ма:рч],март
in front of,[ин франт ов],перед
approve,[эпрУ:в],одобрять
wide,[уАйд],широкий
yard,[я:рд],двор
fifty,[фИфти],пятьдесят
bathroom,[бА:срум],ванная
simple,[симпл],простой
answer,[A:нсэр],отвечать; ответ
children,[чИлдрэн],дети
floor,[фло:р],пол; этаж
begin,[бигИн],начинать
high,[хай],высокий
bird,[бё:рд],птица
yes,[йес],да
job,[джоб],работа
fourteen,[фO:ртИ:н],четырнадцать
can,[кэн],мочь (быть в состоянии)
no,[нOу],нет
country,[кантри],страна; сельская местность
those,[зОуз],те
advantage,[эдвЭнтидж],преимущество
